Alias,Grado
15044,1
4248,1
11321,1
6271,1
14982,1
11800,1
13000,1
16147,1
8369,1
11150,1
11797,1
12669,1
9994,1
16003,1
12634,1
10120,1
10597,1
12165,1
13011,1
16740,1
17173,1
1867,1
8814,1
5241,1
12404,1
14888,1
1178,1
356,1
9705,1
810,1
10860,1
5541,1
1052,1
4550,1
5736,1
11175,1
13974,1
4374,1
1076,1
2583,1
3701,1
5807,1
13572,1
14405,1
8895,1
8029,1
16922,1
4880,1
11145,1
13407,1
277,1
1641,1
4647,1
14407,1
2327,1
11291,1
2715,1
3328,1
11014,1
13622,1
4416,1
16594,1
1133,1
1685,1
1858,1
4239,1
16174,1
9964,1
10717,1
6383,1
16388,1
5677,1
3284,1
14280,1
13168,1
1917,1
9722,1
12901,1
3082,1
15041,1
14034,1
16749,1
4537,1
5656,1
1001,1
6675,1
12239,1
12822,1
14826,1
2759,1
3228,1
12100,1
12219,1
8241,1
16102,1
16056,1
16990,1
1411,1
2831,1
3458,1
9612,1
199,1
6795,1
13955,1
14139,1
15491,1
15097,1
13278,1
15064,1
9779,1
220,1
10294,1
13648,1
5788,1
16501,1
11712,1
2795,1
10521,1
15183,1
3227,1
5128,1
8980,1
14079,1
13349,1
1435,1
12845,1
11390,1
8310,1
10945,1
4535,1
12982,1
4081,1
12090,1
4738,1
9907,1
15168,1
9347,1
10751,1
395,1
3676,1
17246,1
7873,1
17058,1
4179,1
3064,1
4068,1
12567,1
16492,1
9942,1
10089,1
2351,1
12723,1
11102,1
5837,1
9662,1
6896,1
11461,1
9229,1
5168,1
4651,1
13842,1
7582,1
12852,1
15469,1
12540,1
8566,1
10835,1
11858,1
6231,1
14540,1
16996,1
7132,1
6831,1
13105,1
14590,1
1565,1
12800,1
6538,1
5036,1
4874,1
10236,1
11552,1
2182,1
5549,1
4793,1
8370,1
15098,1
10221,1
5462,1
1402,1
13257,1
3985,1
6043,1
7332,1
15782,1
11081,1
9452,1
15200,1
3522,1
13197,1
6144,1
7771,1
4324,1
1517,1
754,1
15735,1
11132,1
1785,1
14844,1
6189,1
9844,1
3968,1
13339,1
10311,1
10528,1
2142,1
12649,1
791,1
15646,1
9272,1
17068,1
1874,1
13658,1
14657,1
17314,1
14008,1
11046,1
13553,1
16445,1
6224,1
11795,1
13094,1
9441,1
9749,1
3772,1
16958,1
7253,1
2934,1
3229,1
2760,1
9911,1
2741,1
11544,1
11435,1
369,1
1196,1
6181,1
7638,1
16137,1
126,1
5688,1
1738,1
4706,1
4387,1
